title,heading,content,tokens
1982 FIFA World Cup Group C,Summary,"Group C was one of four groups of national teams competing in the second stage of the 1982 FIFA World Cup. The group's three matches were staged at the Estadio Sarriá in Barcelona. The group consisted of three teams advancing from the first group stage: Group 1 runners-up Italy, Group 6 winners Brazil and the Group 3 runners-up, the reigning world champions Argentina.
Italy topped the group and advanced to the semi-finals, eventually winning the competition.
In 2007, The Guardian called this group the deadliest-ever Group of Death in FIFA World Cup history.",108
1982 FIFA World Cup Group D,Summary,"Group D was one of four groups of national teams competing in the second stage of the 1982 FIFA World Cup. The group's three matches were staged at the Estadio Vicente Calderón in Madrid. The group consisted of three teams advancing from the first group stage: Group 2 runners-up Austria, Group 5 winners Northern Ireland and Group 4 runners-up France.
France topped the group and advanced to the semi-finals.",80
Hungary v El Salvador (1982 FIFA World Cup),Summary,"Hungary v El Salvador was the second game to be played in Group 3 of the first group stage at the 1982 FIFA World Cup. The game was played at Nuevo Estadio in Elche, Spain on 15 June between the men's national football teams of Hungary and El Salvador. Hungary won the match 10–1, recording the biggest scoreline in men's FIFA World Cup finals history.Hungarian substitute László Kiss scored a hat-trick, the only World Cup hat-trick by a substitute, and the fastest ever in a World Cup, in the space of seven minutes.",107
Hungary v El Salvador (1982 FIFA World Cup),Background,"Hungary had the experience of playing in the final of both the 1938 and 1954 World Cups. El Salvador's qualification for the world cup was made when the country was in the throes of civil war.

The preparation of the Salvadorans for the World Cup was altered due to the war. They struggled to make friendlies and training sessions were frequently disrupted. According to the World Cup's technical report: El Salvador had a very good preparatory programme, mainly with emphasis on endurance, speed and strength. The program was very interesting, but as it happened, the special political circumstances in the country prevented the final stage from being carried out in as concentrated a way as one would have actually wished.
Prior to the World Cup, El Salvador sent a 20-man squad (as opposed to a 22-man squad) for economic reasons. Hungary sent their full team. The Salvadoran team was the last team to arrive in Spain, arriving 3 days before the match against Hungary. On the eve of the game, the Salvadoran players watched a video of the Hungarian team in action, which was purchased from a Spanish agent.
The draw for the group stage of the 1982 World Cup paired Hungary and El Salvador with Argentina and Belgium in Group 3. Before the game, holders Argentina had lost 1–0 to Belgium in the opening game of the tournament. Despite this win, Hungary collected only one more point in the group stage and failed to qualify for the second round.
The win equalised with Yugoslavia 9–0 win over Zaire in the 1974 FIFA World Cup, with a nine-goal margin separating.",303
1982 FIFA World Cup Group A,Summary,"Group A was one of four groups of national teams competing in the second stage of the 1982 FIFA World Cup. The group's three matches were staged at the Nou Camp in Barcelona. The group consisted of three teams advancing from the first group stage: Group 1 winners Poland, Group 3 winners Belgium and Group 6 runners-up the Soviet Union.
Poland topped the group and advanced to the semi-finals, where they were defeated by eventual champions Italy.",89
1982 FIFA World Cup Group 2,Summary,"Group 2 of the 1982 FIFA World Cup was one of six groups of national teams competing in the group stage of the 1982 FIFA World Cup. Play began on 14 June and ended on 23 June 1982. The group consisted of four teams: Seeded team, the European champions West Germany, World Cup debutants Algeria, Chile and Austria.
West Germany won the group and advanced to the second round, along with Austria. The final game in the group, between these two teams, was one of the most controversial in World Cup history: with both teams knowing a win by one or two goals for West Germany would result in both them and Austria qualifying at the expense of Algeria, after West Germany took the lead after 10 minutes, the remainder of the match was played without any serious attempts from either side to score. FIFA amended the rules for all future tournaments so that the final group fixtures are always played simultaneously to avoid a repeat of this situation. (However, this could possibly occur again at the upcoming 2026 FIFA World Cup, which will contain sixteen groups of three teams each, making it impossible for all the teams in a group to play simultaneously.)",230
1982 FIFA World Cup Group B,Summary,"Group B was one of four groups of national teams competing in the second stage of the 1982 FIFA World Cup. The group's three matches were staged at the Santiago Bernabéu in Madrid. The group consisted of three teams advancing from the first group stage: Group 2 winners West Germany, Group 5 runners-up, the host nation Spain, and Group 4 winners England. England finished the group without scoring or conceding a single goal, the only time that has ever happened in any kind of group in FIFA World Cup history. Like Scotland in '74 and Brazil in '78, Three Lions of '82 stayed unbeaten but were eliminated before the semifinals.
West Germany topped the group and advanced to the semi-finals.",137
1982 FIFA World Cup Group 6,Summary,"Group 6 was one of six groups of national teams competing in the First group stage of the 1982 FIFA World Cup. Play began on 14 June and ended on 23 June 1982. The group consisted of four teams: Seeded team Brazil, the Soviet Union, Scotland and World Cup debutants New Zealand.Brazil won the group with three consecutive victories and advanced to the second round, along with the Soviet Union, who finished ahead of Scotland by virtue of goal difference.",92
1982 FIFA World Cup Group 3,Summary,"Group 3 was one of six groups of national teams competing in the group stage of the 1982 FIFA World Cup. Play began on 13 June with the opening match of the tournament and ended on 23 June 1982. The group consisted of four teams: The seeded team, the reigning world champions Argentina, Belgium, Hungary and El Salvador.
Belgium won the group and advanced to the second round, along with Argentina. Despite recording the biggest victory in World Cup history, Hungary failed to advance.",99
1982 FIFA World Cup Group 5,Summary,"Group 5 was one of six groups of national teams competing in the group stage of the 1982 FIFA World Cup. Play began on 16 June and ended on 25 June 1982. The group consisted of four teams: Seeded team and host nation Spain, World Cup debutants Honduras, Yugoslavia and Northern Ireland.
Northern Ireland won the group after defeating Spain, who also advanced to the second round, in the final group game",84
1930 FIFA World Cup knockout stage,Summary,"The knockout stage of the 1930 FIFA World Cup was played between 26 and 30 July 1930. The semi-finals were played on 26 and 27 July, with two rest days before the final on 30 July.",43
1930 FIFA World Cup knockout stage,Format,"According to the format of the tournament, the 13 participants were divided into four pools. The winner of each group would progress to the semi-finals of the knockout stage. Since there were no predefined brackets, a draw took place in 23 July to decide the semi-final meetings. Hosts Uruguay were drawn to play Yugoslavia. Argentina and the United States would contest the other semi-final.",74
1930 FIFA World Cup knockout stage,Argentina vs United States,"The match was even until American center-half Raphael Tracey was injured in the 19th minute. Soon after, Argentina scored the opener with their own center-half, Luis Monti. Tracey left the game at half-time and, since no substitutions were allowed at the time, the United States had to play the second half with 10 men. They also saw goalkeeper Jimmy Douglas hurt his shoulder 15 minutes into the second half. The Argentines scored five more times and went on to win the match, becoming the first team qualified for a World Cup final.",107
2002 FIFA World Cup knockout stage,Summary,"At the 2002 FIFA World Cup, the knockout stage was the second and final stage of the tournament, following the group stage. The top two teams from each group (16 total) advance to the knockout stage to compete in a single-elimination style tournament. A third place match is included and played between the two losing teams of the semi-finals.
Note: Match kickoff times are given in local (South Korea and Japan) time; this is KST and JST (UTC+9) during summer time.",99
2002 FIFA World Cup knockout stage,Germany vs Paraguay,"Two minutes from the end of regulation time, Oliver Kahn sent a goal kick down the field, which was received by Michael Ballack. Ballack passed to Bernd Schneider whose cross was turned in by Oliver Neuville. In the 92nd minute, Roberto Acuña was sent off after punching Ballack.",58
2002 FIFA World Cup knockout stage,Denmark vs England,"After five minutes, David Beckham launched a corner towards Rio Ferdinand, whose header was fumbled by Thomas Sørensen into the net. Michael Owen doubled England's advantage after Trevor Sinclair's pass was flicked to him by Nicky Butt. England made it 3-0 one minute before half-time when a throw-in by Danny Mills was missed by Niclas Jensen, with Beckham passing to Emile Heskey who swept the ball home. In the second half, England appeared to take their foot off the pedal, possibly with a view to conserving energy for the next round: but were easily able to snuff out any rare Danish attacks, neither side coming particularly close to scoring again.",127
2002 FIFA World Cup knockout stage,Sweden vs Senegal,"On 11 minutes, a Sweden corner was headed in by Henrik Larsson. Eight minutes before half-time, Henri Camara equalised for Senegal by shooting into the bottom-left corner. Camara scored the golden goal on 104 minutes, from a similar position shooting low in off the left post. Senegal became the second African nation to reach the quarter-finals, after Cameroon in 1990.",72
2002 FIFA World Cup knockout stage,Spain vs Republic of Ireland,"Spain took the lead early with a goal from Fernando Morientes. They managed to hold out until the very last minute, when a foul by Captain Fernando Hierro saw a penalty converted by Robbie Keane. After extra time ended goalless, Spain triumphed 3–2 on penalties with goalkeeper Iker Casillas emerging a hero by saving two attempts.",67
2002 FIFA World Cup knockout stage,South Korea vs Italy,"The 2002 FIFA World Cup round of 16 match between Italy and co-hosts South Korea was played on 18 June in Daejon. In the first round, South Korea had topped their group with victories over Poland and Portugal, and a draw against the United States, while Italy struggled to advance to the second round with a victory against Ecuador, a defeat against Croatia, and a draw against Mexico, while also having several goals ruled out for offside. In the lead-up to the match, the press saw the in-form South Koreans as the favourites to win, in particular as Italy's usual starting defensive pair, Alessandro Nesta and Fabio Cannavaro, were both unavailable – the first due to injury and the latter due to suspension. The pre-game choreography by the Korean fans also saw supporters hold up red and white cards spelling out the words ""Again 1966"", a reference to Italy's elimination at the hands of North Korea in the first round of the 1966 World Cup. In the fifth minute of play, Ecuadorian referee Byron Moreno awarded a controversial penalty for South Korea after judging Christian Panucci to have pulled down Seol Ki-Hyeon in the box, but Italian goalkeeper Gianluigi Buffon saved Ahn Jung-Hwan's spot kick, putting the ball out for a corner. Italy took the lead in the 19th minute after Christian Vieri headed in a Francesco Totti corner. The second half became increasingly physical, which saw several players on both teams sustain minor injuries, while Gianluca Zambrotta and Kim Nam-Il were later forced off; Seol Ki-Hyeon eventually managed to equalise in the 89th minute to send the match into extra-time. In the first half of extra-time, Italy were reduced to ten men after Moreno showed Totti a second yellow card for an alleged dive in South Korea's penalty area, while Moreno was 40 yards away from the play, and in the second half, Damiano Tommasi appeared to score a golden goal for Italy, but it was ruled out for offside; Ahn later scored the golden goal in the 118th minute to give the co-hosts a 2–1 victory, which allowed them to progress to the quarter-finals of the competition, the first time an Asian team had done so since 1966. Following Italy's elimination from the tournament, Moreno's performance was criticised by members of the Italian team – most notably attacking midfielder Totti and coach Giovanni Trapattoni – for several contentious decisions he had made throughout the match. Some team members even suggested a conspiracy to eliminate Italy from the competition, while Trapattoni even obliquely accused FIFA of ordering the official to ensure a Korean victory so that one of the two host nations would remain in the tournament. FIFA President Sepp Blatter stated that the linesmen had been a ""disaster"" and admitted that Italy suffered from bad offside calls from the group matches, but he denied conspiracy allegations. While he criticised Totti's sending off by Moreno, Blatter refused to blame Italy's loss on the officials, stating: ""Italy's elimination is not only down to referees and linesmen who made human not premeditated errors ... Italy made mistakes both in defense and in attack.""",585
2002 FIFA World Cup knockout stage,Spain vs South Korea,"Co-hosts South Korea faced Spain in the 2002 World Cup quarter-finals on 22 June, in Gwangju. South Korea had progressed to the quarter-finals after defeating Italy with a golden goal, while Spain overcame Ireland in the round of 16 in a penalty shoot-out victory. In the second half of regulation time, Spanish midfielder Rubén Baraja scored from a header, but it was disallowed by referee Gamal Al-Ghandour because of alleged shirt pulling and pushing in the penalty area; a 0–0 deadlock saw the match go into extra-time. In the first half of extra-time, Spanish striker Fernando Morientes appeared to score the golden goal with a header, but the referee disallowed it after the linesman raised his flag, as he erroneously felt that the ball had gone out of play for a goal kick before being crossed in by winger Joaquín; later on in the half, Morientes came close to scoring again when he hit the post with a first-time half-volley following a throw-in. With both sides still failing to score, the match went to a penalty shoot-out; South Korea's goalkeeper Lee Woon-jae saved Joaquín's spot kick – who had been carrying an injury – while South Korea converted all of their penalties – with Hong Myung-bo scoring the decisive spot-kick – to win the shoot-out 5–3, becoming the first Asian side ever to reach the semi-finals of the World Cup. However, following prior criticism in the media over the quality of officiating in South Korea's win over Italy in the round of 16, there was further controversy surrounding the contentious decisions made by the officials in South Korea's quarter-final victory, as the referee had disallowed both of Spain's goals after his linesmen Ali Tomusange and Michael Ragoonath had raised their flags. Spanish midfielder Iván Helguera, who had to be restrained after the match when he attempted to confront the referee, was particularly vocal in his criticism of the officials' decisions, stating afterwards: ""What happened here was robbery. Everyone saw two perfectly good goals. If Spain didn't win, it's because they didn't want us to win. I feel terrible about this game.""",398
1962 FIFA World Cup Group 3,Brazil vs Mexico,"Brazilians attacked and Mexicans defended for most of the match. In the first half Pelé hit the woodwork with a free kick outside the box. Ten minutes after the break he made a cross from the right on Zagallo who headed the first goal. Then, after 73 minutes, Pele dribbled past four defenders and scored with his left foot from inside the penalty area.",74
1962 FIFA World Cup Group 3,Czechoslovakia vs Spain,"Spain took the initiative but only managed to create danger in disorganized attacks. Spanish players repelled the harshness of the Czechs with the same violence. That fact provoked the snub of spectators who soon leaned in favour of Czechoslovakia. The injuries of Rivilla and Reija, the two defensive sides, made things worse for Spain. The Czechs seemed to settle for the draw but in 10 minutes' time a mistake from the centre of the Spanish field allowed Josef Štibrányi to face Carmelo's goal and score. The Spanish team weighed down by the injuries managed to create very little danger in the last minutes of the match.",120
1962 FIFA World Cup Group 3,Brazil vs Czechoslovakia,Brazil had to play part of the game with ten players after Pelé tore a thigh muscle midway through the first half. Neither side could break the deadlock and the game ended in 0-0 draw. The two sides would meet again in the final.,51
1962 FIFA World Cup Group 3,Spain vs Mexico,"The game had very little rhythm and Spanish attacks were lost or easily stopped by the Aztec defense or goalkeeper Carvajal. In the second half physical spending began to take its toll on Spain and Mexico took attack positions. However in one of counterattacks Luis Suárez and Puskas scored a goal which was cancelled for offside. In the last minutes of the game Mexicans claimed a penalty in the Spanish area. The game continued and the ball reached Gento who made a run on the left wing. Gento passed in to Peiró who finished past Carvajal a few seconds from the final whistle. Spain achieves victory, Santamaría, Pachín and Peiró were named the best men of the Spanish side according to the press.",136
1962 FIFA World Cup Group 3,Brazil vs Spain,Spain had control of the game in the first half and took the lead 10 minutes before halftime when Adelardo shot into the bottom corner from twenty meters. At the beginning of the second half Nílton Santos committed a foul inside the penalty area but the referee being far away from the episode awarded only a free kick to the Spanish team. Spain also had a goal disallowed for no evident reason. In the last 15 minutes of the game Amarildo (who was replacing Pele after the latter was injured in the previous match) scored twice to complete the Brazilian comeback.,111
1962 FIFA World Cup Group 3,Mexico vs Czechoslovakia,"In this game Václav Mašek scored the fastest goal in the history of the tournament after only 15 seconds. Isidoro Díaz equalized after sweeping past two defenders, Alfredo del Águila made it 2-1 before half time. In the second half Mexicans secured their first World Cup victory with a late penalty converted by Héctor Hernández.",63
1962 FIFA World Cup Group 1,Uruguay vs Colombia,Colombians opened the score midway through the first half when Francisco Zuluaga converted a penalty. Uruguayan harsh tackling led to Zuluaga's injury. In the second half Uruguay could come back from behind with Luis Cubilla and José Sasía's shots.,48
1962 FIFA World Cup Group 2,Chile vs Switzerland,The game didn't start well for the hosts when in the sixth minute Rolf Wüthrich scored with a long-range shot taking advantage of a bad throw by Escuti. As Chileans increased the pressure after the goal Elsener had to make some fine saves. Contreras and Sánchez also hit the woodwork. Just before halftime the score was level when Sánchez's shot was deflected by Morf. Six minutes into the second half Jaime Ramírez put Chile ahead and soon after Leonel Sánchez scored his second goal and secured the victory for Chile.,101
1962 FIFA World Cup Group 2,West Germany vs Italy,"This game saw not so many scoring chances for both sides. In the first half Uwe Seeler hit the bar, Albert Brülls and Omar Sívori also had their chances. In the second half the game became more physical and sometimes brutal but in the end defences overcame attacks and no goals were scored.",62
1962 FIFA World Cup Group 2,Chile vs Italy,The game was tough with much foul play. After only seven minutes Ferrini was sent off for kicking Landa and the game had to be interrupted for another eight minutes until the police escorted the Italian out of the field. Soon afterwards Leonel Sánchez responded to a series of kicks from Mario David by knocking him down with a punch in front of the linesman. The referee did nothing so David took revenge on Sánchez before halftime and was also sent off. Italians held out in the second half until Jaime Ramírez headed the ball into the net over two defenders after Sánchez's shot was punched away by Carlo Mattrel. In the last minutes Jorge Toro secured the Chilean victory with a long-range shot.,135
1962 FIFA World Cup Group 2,West Germany vs Switzerland,Switzerland were left with just 10 men early in the game when Norbert Eschmann suffered an ankle injury after a sliding tackle by Horst Szymaniak. Albert Brülls scored the first goal just before halftime with a low shot into the far corner. Fourteen minutes into the second half Uwe Seeler got a long pass from Hans Schäfer and beat the Swiss goalkeeper for the second time. Switzerland could answer only with a Schneiter goal after a corner At the end of the game Brülls had another good chance but his first shot was parried by the goalkeeper and his second shot was cleared off the line by Schneiter.,117
1962 FIFA World Cup Group 2,Italy vs Switzerland,"Almost as soon as the game started Bruno Mora opened the score after Elsener deflected a crossshot by Pascutti. In the second half Giacomo Bulgarelli, a new member of the team, scored two consecutive goals and made undoubtable the Italian victory, though it was unable to prevent an early Italian elimination.",60
1962 FIFA World Cup knockout stage,Summary,"The knockout stage of the 1962 FIFA World Cup was the second and final stage of the competition, following the group stage. The knockout stage began on 10 June with the quarter-finals and ended on 17 June 1962 with the final match, held at the Estadio Nacional in Santiago. The top two teams from each group (eight in total) advanced to the knockout stage to compete in a single-elimination style tournament. A third place play-off also was played between the two losing teams of the semi-finals.
Brazil won the final 3–1 against Czechoslovakia for their second World Cup title.All times listed are local time.",117
1962 FIFA World Cup knockout stage,Chile vs Soviet Union,Eleven minutes into the game Leonel Sánchez opened the score with a free kick from wide on the right that surprised Lev Yashin at the near post. Igor Chislenko equalized for the Soviet Union after picking up a deflected shot by Viktor Ponedelnik but almost immediately Eladio Rojas scored with an excellent low shot from distance. Chile managed to hold on to the result.,72
Battle of Santiago (1962 FIFA World Cup),Summary,"The Battle of Santiago (Italian: Battaglia di Santiago, Spanish: Batalla de Santiago) was a football match during the 1962 FIFA World Cup, played between host Chile and Italy on 2 June 1962 in Santiago. It gained its nickname from the level of violence seen in the game, in which two players were sent off, numerous punches were thrown and police intervention was required four times. The referee was Ken Aston, who later went on to invent yellow and red cards.",96
Battle of Santiago (1962 FIFA World Cup),Background,"In this Group B clash, already heightened tensions between the two football teams were exacerbated by the description of Santiago in crude terms by two Italian journalists, Antonio Ghirelli and Corrado Pizzinelli; they had written that Santiago was a backwater dump where ""the phones don't work, taxis are as rare as faithful husbands, a cable to Europe costs an arm and a leg and a letter takes five days to turn up"", and its population as prone to ""malnutrition, illiteracy, alcoholism and poverty. Chile is a small, proud and poor country: it has agreed to organise this World Cup in the same way as Mussolini agreed to send our air force to bomb London (they didn't arrive). The capital city has 700 hotel beds. Entire neighbourhoods are given over to open prostitution. This country and its people are proudly miserable and backwards."" Chilean newspapers fired back, describing Italians in general as fascists, mafiosos, oversexed, and, because some of Inter Milan's players had recently been involved in a doping scandal, drug addicts. The journalists involved were forced to flee the country, while an Argentinian scribe mistaken for an Italian in a Santiago bar was beaten up and hospitalised.Chile's organisation of and preparation for the tournament had been severely disrupted by the 1960 Valdivia earthquake, the strongest earthquake ever recorded in human history. Articles in the Italian papers La Nazione and Corriere della Sera were saying that allowing Chile to host the World Cup was ""pure madness""; this was used and magnified by local newspapers to inflame the Chilean population. The British newspaper the Daily Express wrote ""The tournament shows every sign of developing into a violent bloodbath. Reports read like battlefront despatches. Italy vs Germany was described as 'wrestling and warfare.'""",338
Battle of Santiago (1962 FIFA World Cup),Aftermath,"When highlights from the match were shown on British television a couple of days later (not the same night, because film of matches had to be flown back to the UK), the match was introduced by BBC sports commentator David Coleman as ""the most stupid, appalling, disgusting and disgraceful exhibition of football, possibly in the history of the game."" Stones were thrown at some Italian players at their training camp.Coleman also observed that it was the first meeting between the sides and ""we hope it will be the last."" However, the sides were drawn together at the 1966 World Cup and met at Sunderland's Roker Park ground with Italy winning 2–0. The rematch also featured unsportsmanlike play but to a lesser degree.",142
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),Summary,"The 1973 play-off for a place in the 1974 FIFA World Cup in West Germany, between the national football teams of the Soviet Union and Chile, is notable for the political circumstances that marked the second leg of the play-off on 21 November 1973. It was scheduled to take place in the Estadio Nacional de Chile in Santiago, the Chilean capital. There had been a coup d'état in Chile two months before, immediately after which people deemed undesirable to the new regime of Augusto Pinochet had been held captive and executed in the stadium. The Soviet Union asked FIFA to find a different venue in Chile; when agreement could not be reached, the Soviet team did not take the field and was disqualified from the tournament, giving the Chilean team a victory by walkover. However, the match was still organised by FIFA as normal, but without any away team present. Chile scored 1–0 in an empty goal, and then the referee blew the game off. Chile advanced to the 1974 World Cup, where they were eliminated in the first round.",202
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),Political circumstances,"Salvador Allende had been elected to power in Chile in 1970, but was overthrown by Augusto Pinochet in a coup d'état in September 1973, during which thousands of people deemed undesirable by the new regime were taken to the Estadio Nacional in Santiago, tortured and killed; this continued until 7 November. The football match between the Soviet Union and Chile in the same stadium was scheduled for 21 November.",78
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),Soviet Union,"The Soviet's qualification started on 13 October 1972 with a 1–0 loss to France, away in Paris. Five days later they faced the Republic of Ireland in Dublin and won 2–1. Their home matches were played in May 1973. On 13 May they won against the Irish by 1–0, and thirteen days later beat the French 2–0 with both goals coming in the last ten minutes.  
Rather than having the worst record among group winners, placing Soviet Union in the play-off was simply decided through allocation to Group 9 - Europe (UEFA).  
Despite 32 UEFA nations participating in the qualifying group stage, UEFA oddly chose to allocate only three teams to 3 of the 9 groups, instead of having 8 groups of 4 teams.",141
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),Chile,"Chile was placed in Group 3 of the CONMEBOL qualification alongside Peru and Venezuela although the Venezuelans withdrew. On 29 April 1973 Chile was defeated 2–0 by the Peruvians in Lima. In the home game on 13 May 1973 Chile won 2–0, making both teams equal on points and goal difference. A play-off was held on neutral ground in Montevideo, Uruguay, where Chile triumphed 2–1 to face the Soviets.",79
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),First leg,"After the coup, the new regime had banned all Chileans from leaving the country: in addition due to its anti-communism it did not have a favourable view of the national team playing in the homeland of its staunch enemy. However, at the same time it was desirable to portray an image of normality, so the Pinochet regime let the national team travel on the condition that no one made political statements, since their relatives were under military surveillance. Some of the team members, like Véliz or Caszely, were politically close to the Allende government. In addition, the Soviet Union, an ally of the overthrown government, had condemned the military coup and did not recognise the new government, with which it broke diplomatic relations.At Moscow airport no Chilean authority received the team. In addition, Elías Figueroa and Carlos Caszely were detained by the immigration authorities for alleged irregularities in their passports. Leonardo Véliz told the Chilean newspaper La Tercera that ""In Moscow, I was approached by a Chilean student from Lumumba University, the son of a communist militant. I told him to forget to return to Chile, because any red dye was going to be a danger to his integrity"".The first leg was played in Moscow on 26 September, two weeks after the coup, which brought a political dimension to the match. The Soviet authorities banned the entry of journalists and cameras into the stadium. It was a very tense game that was almost cancelled due to rumours of arrests of Chilean players in exchange for the release of political prisoners. The final result was a goalless draw. The Soviet government and media were humiliated by the result, hoping for an easy victory on home soil.",320
1974 FIFA World Cup qualification (UEFA–CONMEBOL play-off),Second leg,"In the face of criticism of the regime regarding abuses against detainees, the Football Federation of Chile suggested other scenarios, but the military junta, in an effort to improve the climate of opinion, insisted on demonstrating normality and at the same time defeating communism playing on home ground. The Russians demanded to play the game in a neutral country, which both Chile and FIFA rejected.FIFA established a commission that inspected the National Stadium, which had been prepared for the occasion but which still had about 7,000 detainees. According to testimony of Gregorio Mena Barrales, a politician imprisoned in that stadium, that commission ""visited the field, walked around the court, looked with distant eyes at the prisoners and gave the opinion: In the stadium you could play."" While the FIFA commission examined the stadium, the detainees were hidden inside. Before the match, the detainees were transferred to a detention site in the Atacama Desert.But the Soviets never travelled, claiming political and security issues, arguing that the National Stadium was an illegal detention centre where more than 7000 political prisoners were crowded and where many dissidents were tortured after the coup d'état against Salvador Allende. The USSR's decision was supported by several of its allied countries, especially by East Germany which was already qualified and threatened not to appear at the World Cup event. The Soviets sent a letter to FIFA explaining that ""For moral considerations, Soviets can not at this time play in the stadium of Santiago, splashed with the blood of the Chilean patriots"".Chile demanded a compensation of $300,000 if the Soviets did not appear, claiming that they could not place the tickets for sale and the cost of preparing the game. FIFA declared the match a 2–0 walkover victory for Chile. However, FIFA arranged for the match to be held anyway. The match was attended by only 15,000 people. The game lasted 30 seconds, which took the Chilean team to score a goal from the kickoff. When they arrived in the area, as they had agreed, it was the captain, Francisco ""Chamaco"" Valdés, who scored the empty goal.In later years, some members of the Soviet team stated that they thought that their government did not want to lose to a country with a different political ideology and that instead they won a moral victory in the eyes of the world.",441
1974 FIFA World Cup qualification (UEFA),Summary,"Listed below are the dates and results for the 1974 FIFA World Cup qualification rounds for the European zone (UEFA). For an overview of the qualification rounds, see the article 1974 FIFA World Cup qualification.
A total of 32 UEFA teams entered the competition. The European zone was allocated 9.5 places (out of 16) in the final tournament. West Germany, the hosts, qualified automatically, leaving 8.5 spots open for competition between 32 teams.
The 32 teams were divided into 9 groups of 3 or 4 teams each (four groups with 3 teams and five groups with 4 teams). The teams would play against each other on a home-and-away basis. The group winners would qualify, except the winner of Group 9, which would advance to the UEFA / CONMEBOL Intercontinental Play-off.",154
1982 FIFA World Cup qualification (AFC and OFC),Summary,"Listed below are the dates and results for the 1982 FIFA World Cup qualification rounds for the Asian and Oceanian zone (AFC and OFC). For an overview of the qualification rounds, see the article 1982 FIFA World Cup qualification.
A total of 21 AFC and OFC teams entered the competition. However, Iran withdrew before the draw was made. The Asian and Oceanian zone was allocated 2 places (out of 24) in the final tournament.
There would be two rounds of play:

First Round: The remaining 20 teams would be divided into 4 groups. The groups had different rules, as follows:
Group 1 had 5 teams. The teams played against each other on a home-and-away basis. The group winner would qualify.
Group 2 had 5 teams. The teams played against each other once in Saudi Arabia. The group winner would qualify.
Group 3 had 4 teams. The teams played against each other once in Kuwait. The group winner would qualify.
Group 4 had 6 teams. All matches were played in Hong Kong. There would be four stages of play:
Classification matches: All teams would be paired up to play preliminary matches to determine group classification.
Group stage: Based on the results of the classification matches, the 6 teams were divided into 2 groups of 3 teams each. The teams played against each other once. The group winners and runners-up would advance to the semifinals.
Semifinals: The winner of Group A played against the runner-up of Group B in a single match, and the winner of Group B played against the runner-up of Group A in a single match. The winners would advance to the Final.
Final: The 2 teams played against each other in a single match. The winner would advance to the Final Round.
Final Round: The 4 teams played against each other on a home-and-away basis. The group winner and runner-up would qualify.",363
1982 FIFA World Cup qualification (AFC and OFC),Play-off,"At the time, goals scored and head-to-head results were not used to rank teams level on points and goal difference. As China PR and New Zealand finished level on points and goal difference, a play-off on neutral ground was played to determine who would qualify.

Kuwait and New Zealand qualified.",58
1982 FIFA World Cup qualification (UEFA),Summary,"Listed below are the dates and results for the 1982 FIFA World Cup qualification rounds for the European zone (UEFA). For an overview of the qualification rounds, see the article 1982 FIFA World Cup qualification.
A total of 33 UEFA teams entered the competition. Moreover, Israel were also assigned to the European zone despite not being a UEFA member. The European zone was allocated 14 places (out of 24) in the final tournament. Spain, the hosts, qualified automatically, leaving 13 spots open for competition between 33 teams.
The 33 teams were divided into 7 groups. The teams would play against each other on a home-and-away basis. The number of teams and spots for each group were as follows:

Groups 1 to 6 had 5 teams each. The group winners and runners-up would qualify.
Group 7 had 3 teams. The group winner would qualify.",169
1982 FIFA World Cup qualification (UEFA),Draw,"The draw for the qualifying groups took place in the Zürichhorn Casino in Zürich, Switzerland on 14 October 1979. During the draw procedure, the 33 entrants were drawn into the 7 qualifying groups from the five pots of seeds, which had been announced ten days prior. As Group 7 only featured 3 teams (one team from Pot A, one team from Pot C and one team from Pot E), only the group winner of this group would qualify.",91
1974 FIFA World Cup qualification – UEFA Group 5,Summary,"Group 5 consisted of three of the 32 teams entered into the European zone: England, Poland, and Wales. These three teams competed on a home-and-away basis for one of the 9.5 spots in the final tournament allocated to the European zone, with the group's winner claiming the place in the finals.
This was the first time England failed to qualify for the World Cup since first entering in 1950.",81
1938 FIFA World Cup qualification,Summary,"A total of 37 teams entered the 1938 FIFA World Cup qualification rounds, competing for a total of 16 spots in the final tournament. For the first time the title holders and the host country were given automatic qualification. Therefore, France, as the hosts, and Italy, as the defending champions, qualified automatically, leaving 14 spots open for competition.
Due to the Spanish Civil War, Spain  withdrew from the competition. The remaining 34 teams were divided into 12 groups, based on geographical considerations, as follows:

Groups 1 to 9 – Europe: 11 places, contested by 23 teams (including Egypt and Palestine).
Groups 10 and 11 – The Americas: 2 places, contested by 9 teams.
Group 12 – Asia: 1 place, contested by 2 teams.However, due to the withdrawal of Austria after qualifying (they had been annexed by Germany), only 15 teams actually competed in the final tournament. FIFA did not offer participation to the runner-up of the group that Austria had played in, Latvia.
A total of 21 teams played at least one qualifying match. A total of 22 qualifying matches were played, and 96 goals were scored (an average of 4.36 per match).",234
